County Name	Circuit Number	Court Address	Street Address	City	ZIP Code	Court Phone #	Special Requirement?	Web Link	Website	NC Resource?	What Publication?	Publication URL	Finger Printing Location Name	Nearby?	FP Address	FP Street Address	FP City	FP ZIP	FP Web Link		Vetted?
Delta	47th	310 Ludington St # 206, Escanaba, MI 49829	310 Ludington St # 206	Escanaba	49829	(906) 789-5103		LINK	https://deltacountymi.gov/47th-circuit-court/		Daily Press	https://www.dailypress.net/contact-us/	Schoolcraft County Sheriff	Yes	300 Main St, Manistique, MI 49854	300 Main St	Manistique	49854	LINK	https://deltacountymi.gov/sheriffs-office/	
Dickinson	41st	705 S Stephenson Ave, Iron Mountain, MI 49801	705 S Stephenson Ave	Iron Mountain	49801	(906) 774-1555		LINK	https://www.dickinsoncountymi.gov/government/county_departments/courts.php		Iron Mountain Daily News	https://www.ironmountaindailynews.com/contact-us/	Iron Mountain Police Department		111 E Fleshiem St, Iron Mountain, MI 49801	111 E Fleshiem St	Iron Mountain	49801	LINK	https://www.cityofironmountain.com/150/Police-Department	
Eaton	56th	1045 Independence Blvd, Charlotte, MI 48813	1045 Independence Blvd	Charlotte	48813	(517) 543-7500		LINK	https://www.eatoncounty.org/DocumentCenter/View/851/Name-Change-PDF	Yes	Multiple Options		Eaton County Sheriff	Yes	1025 Independence Blvd, Charlotte, MI 48813	1025 Independence Blvd	Charlotte	48813	LINK	https://www.eatoncounty.org/424/Records-Division	
Emmet	57th	200 Division St # G34, Petoskey, MI 49770	200 Division St # G34	Petoskey	49770	(231) 348-1717		LINK	https://www.emmetcounty.org/courts-sheriff/57th-circuit-court/		Petoskey News-Review	https://www.petoskeynews.com/public-notices	Emmet County Sheriff	Yes	450 Bay St, Petoskey, MI 49770	450 Bay St	Petoskey	49770	LINK	https://www.emmetcounty.org/courts-sheriff/sheriff/	
Genesee	7th	900 Saginaw St, Flint, MI 48502	900 Saginaw St	Flint	48502	(810) 424-4355		LINK	https://7thcircuitcourt.com/		Genesee County Legal News		Genesee County Sheriff	Yes	1002 Saginaw St, Flint, MI 48502	1002 Saginaw St	Flint	48502	LINK	https://www.gcsomichigan.com/	
Gladwin	55th	401 W Cedar Ave #4, Gladwin, MI 48624	401 W Cedar Ave #4	Gladwin	48624	(989) 426-9237		LINK	https://gladwincounty-mi.gov/departments/55th-circuit-court/		Gladwin County Record	https://www.gladwinmi.com/contact	Gladwin County Sheriff	Yes	501 W Cedar Ave, Gladwin, MI 48624	501 W Cedar Ave	Gladwin	48624	LINK	https://gladwincounty-mi.gov/departments/sheriffs-office/	
Gogebic	32nd	200 N Moore St, Bessemer, MI 49911	200 N Moore St	Bessemer	49911	(906) 663-4611		LINK	https://www.gogebiccountymi.gov/government/courts/circuit_court/index.php		The Daily Globe	https://www.yourdailyglobe.com/contact	Gogebic County Sheriff	Yes	100 W Iron St, Bessemer, MI 49911	100 W Iron St	Bessemer	49911	LINK	https://www.gogebiccountymi.gov/government/county_offices/sheriff_s_office.php	
Grand Traverse	13th	328 Washington St STE 300, Traverse City, MI 49684	328 Washington St STE 300	Traverse City	49684	(231) 922-4701		LINK	https://www.gtcountymi.gov/2260/Forms	Yes	Traverse City Record Eagle	https://www.record-eagle.com/site/contact-us.html	Leelanau County Sheriff		8525 E Government Center Dr, Suttons Bay, MI 49682	8525 E Government Center Dr	Suttons Bay	49682	LINK	https://www.leelanau.gov/sopublicnotices.asp	
Gratiot	29th	214 E Center St, Ithaca, MI 48847	214 E Center St	Ithaca	48847	(989) 875-5215		LINK	https://www.gratiotmi.com/324/29th-Circuit-Court		Multiple Options		Gratiot County Sheriff	Yes	226 E Center St, Ithaca, MI 48847	226 E Center St	Ithaca	48847	LINK	https://www.gratiotmi.com/344/Sheriffs-Office	
Hillsdale	1st	29 N Howell St # 1, Hillsdale, MI 49242	29 N Howell St # 1	Hillsdale	49242	(517) 437-4643		LINK	https://www.co.hillsdale.mi.us/index.php/tm-courts/tsm-crt-probate		Hillsdale Daily News	https://www.hillsdale.net/public-notices	Hillsdale County Sheriff		165 Fayette St W, Hillsdale, MI 49242	165 Fayette St W	Hillsdale	49242	LINK	https://www.co.hillsdale.mi.us/index.php/m-hcso-services/m-hcso-fingerprint	
Houghton	12th	401 E Houghton Ave, Houghton, MI 49931	401 E Houghton Ave	Houghton	49931	(906) 482-3120		LINK	https://www.houghtoncounty.net/directory-probate-family-court.php		The Daily Mining Gazette	https://www.mininggazette.com/contact-us/	Houghton County Sheriff		403 E Houghton Ave, Houghton, MI 49931	403 E Houghton Ave	Houghton	49931	LINK	https://www.houghtonsheriff.com/fingerprinting	
Huron	52nd	250 E Huron Ave # 206, Bad Axe, MI 48413	250 E Huron Ave # 206	Bad Axe	48413	(989) 269-9944		LINK	https://www.co.huron.mi.us/circuit-court		Huron County View	https://huroncountyview.mihomepaper.com/contact-us/	Huron County Sheriff	Yes	120 S Heisterman St, Bad Axe, MI 48413	120 S Heisterman St	Bad Axe	48413	LINK	https://www.co.huron.mi.us/sheriffs-records-office	
Ingham	30th	303 West Kalamazoo Street, Lansing, MI 48933	303 West Kalamazoo Street	Lansing	48933	(517) 483-6313		LINK	https://cc.ingham.org/courts_and_sheriff/circuit_court/name_change.php	Yes	Lansing State Journal	https://www.lansingstatejournal.com/public-notices	Ingham County Sheriff		630 N Cedar St, Mason, MI 48854	630 N Cedar St	Mason	48854	LINK	https://sh.ingham.org/courts_and_sheriff/sheriffs_office/	
Ionia	8th	100 W Main St, Ionia, MI 48846	100 W Main St	Ionia	48846	(616) 527-5322		LINK	https://ioniacounty.org/courts/circuit-court/		None		Ionia County Sheriff		133 E Adams St, Ionia, MI 48846	133 E Adams St	Ionia	48846	LINK	https://ioniacounty.org/public-safety/sheriff/sheriff-records/	
Iosco	23rd	422 W Lake St, Tawas City, MI 48763	422 W Lake St	Tawas City	48763	(989) 362-3991		LINK	https://iosco.net/courts/probate-court/	Yes	Iosco County News-Herald	https://www.iosconews.com/site/contact.html	Iosco County Sheriff	Yes	428 W Lake St, Tawas City, MI 48763	428 W Lake St	Tawas City	48763	LINK	https://iosco.net/sheriffs-office/	
Iron	41st	2 S 6th St, Crystal Falls, MI 49920	2 S 6th St	Crystal Falls	49920	(906) 875-3121		LINK	https://www.ironcounty.net/government/departments/justice-court/request-to-court		Iron County Reporter	https://www.ironcountyreporter.com/contact	Iron County Sheriff	Yes	2 S 6th St Ste 18, Crystal Falls, MI 49920	2 S 6th St Ste 18	Crystal Falls	49920	LINK	https://ironmi.com/sheriffs-office	
Isabella	21st	300 N Main St, Mt Pleasant, MI 48858	300 N Main St	Mt Pleasant	48858	(989) 317-4097		LINK	https://www.isabellacounty.org/law-justice/trial-court/divisions-services/probate-division/		The Morning Sun	https://www.themorningsun.com/	Isabella County Sheriff	Yes	207 Court St # A, Mt Pleasant, MI 48858	207 Court St # A	Mt Pleasant	48858	LINK	https://www.isabellacounty.org/law-justice/sheriffs-office/	
Jackson	4th	312 S Jackson St, Jackson, MI 49201	312 S Jackson St	Jackson	49201	(517) 788-4290		LINK	https://www.co.jackson.mi.us/DocumentCenter/View/274/Name-Change-PDF	Yes	Jackson Citizen Patriot	https://www.mlive.com/mlive_contacts/page/contact_home.html	Jackson County Sheriff	Yes	212 W Wesley St, Jackson, MI 49201	212 W Wesley St	Jackson	49201	LINK	https://www.co.jackson.mi.us/FAQ.aspx?TID=16	
Kalamazoo	9th	227 W Michigan Ave, Kalamazoo, MI 49007	227 W Michigan Ave	Kalamazoo	49007	(269) 383-8837	Copy of Birth Certificate to file	LINK	https://www.kalcounty.com/courts/circuit/name_change_instructions.htm	Yes	Climax Crescent	https://www.theclimaxcrescent.com/contact-us.php	Kalamazoo Township Police		1720 Riverview Dr, Kalamazoo, MI 49004	1720 Riverview Dr	Kalamazoo	49004	LINK	https://www.ktwp.org/police-fingerprinting/	
Kalkaska	46th	605 N Birch St, Kalkaska, MI 49646	605 N Birch St	Kalkaska	49646	(231) 258-9031		LINK	https://www.kalkaskacounty.net/government/michigan_courts/index.php		The Antrim Review	https://www.antrimreview.net/?fbclid=IwAR0gUh3fuEySYqmdi0V3zmVJSJuwHOpGQGjcwoHb6DLgm6Fc7zM8eBi4Spg	Kalkaska County Sheriff	Yes	605 N Birch St, Kalkaska, MI 49646	605 N Birch St	Kalkaska	49646	LINK	https://kalkaskasheriff.net/divisions/records/fingerprints.php	
Kent	17th	180 Ottawa Ave NW, Grand Rapids, MI 49503	180 Ottawa Ave NW	Grand Rapids	49503	(616) 632-5440		LINK	https://www.accesskent.com/Courts/Probate/pdfs/Name_Change_Instructions.pdf	Yes	Grand Rapids Legal News		Kent County Sheriff		701 Ball Ave NE, Grand Rapids, MI 49503	701 Ball Ave NE	Grand Rapids	49503	LINK	https://www.accesskent.com/Sheriff/fingerprint.htm	Yes
Keweenaw	12th	5095 Fourth Street, Eagle River, MI 49950	5095 Fourth Street	Eagle River	49950	(906) 337-1927		LINK	https://www.keweenawcountyonline.org/department-probate.php		The Daily Mining Gazette	https://www.mininggazette.com/contact-us/	Keweenaw County Sheriff	Yes	5105 4th, Eagle River, MI 49950	5105 4th	Eagle River	49950	LINK	https://keweenawcountyonline.org/department-sheriff.php	
Lake	51st	800 E 10th St #300, Baldwin, MI 49304	800 E 10th St #300	Baldwin	49304	(231) 745-4614		LINK	http://lakecounty-michigan.com/Courthouse/TrialCourt.aspx		The Lake County Star	https://www.lakecountystar.com/contact/	Lake County Jail		1153 Michigan Ave, Baldwin, MI 49304	1153 Michigan Ave	Baldwin	49304	LINK	http://lakecounty-michigan.com/PublicSafety/SheriffsOffice.aspx	
Lapeer	40th	255 Clay St, Lapeer, MI 48446	255 Clay St	Lapeer	48446	(810) 667-0358		LINK	https://www.lapeercountymi.gov/courts/40th_circuit_court/index.php		Multiple Options		Lapeer County Sheriff		3231 John Conley Dr, Lapeer, MI 48446	3231 John Conley Dr	Lapeer	48446	LINK	https://www.lapeercountymi.gov/departments/sheriff/index.php	
Leelanau	13th	8527 E Government Center Dr #203, Suttons Bay, MI 49682	8527 E Government Center Dr #203	Suttons Bay	49682	(231) 256-9803		LINK	https://www.leelanau.gov/howdoia.asp?rid=14	Yes	Leelanau Enterprise	https://www.leelanaunews.com/contact	Leelanau County Sheriff	Yes	8525 E Government Center Dr, Suttons Bay, MI 49682	8525 E Government Center Dr	Suttons Bay	49682	LINK	https://www.leelanau.gov/sopublicnotices.asp	
Lenawee	39th	425 N Main St #101, Adrian, MI 49221	425 N Main St #101	Adrian	49221	(517) 264-4661		LINK	https://www.lenawee.mi.us/596/Name-Changes	Yes	Multiple Options		Lenawee County Sheriff	Yes	405 N Winter St, Adrian, MI 49221	405 N Winter St	Adrian	49221	LINK	https://www.lenawee.mi.us/944/Fingerprinting	
Livingston	44th	204 S Highlander Way # 4, Howell, MI 48843	204 S Highlander Way # 4	Howell	48843	(517) 546-9816		LINK	https://www.livgov.com/courts/circuit/clerk/pages/name.aspx	Yes	Court gives form		Livingston County Sheriff	Yes	150 S Highlander Way, Howell, MI 48843	150 S Highlander Way	Howell	48843	LINK	https://www.livgov.com/sheriff/Pages/FAQ.aspx	
Luce	11th	407 W Harrie St, Newberry, MI 49868	407 W Harrie St	Newberry	49868	(906) 643-7303		LINK	https://www.lucecountymi.com/name-changes	Yes	The Newberry News	https://mynewberrynews.com/contact-us/	Luce County Sheriff	Yes	411 W Harrie St, Newberry, MI 49868	411 W Harrie St	Newberry	49868	LINK	https://www.lucecountymi.com/sheriffs-department	
Mackinac	11th	100 S Marley St, St Ignace, MI 49781	100 S Marley St	St Ignace	49781	(906) 643-7303		LINK	https://www.mackinaccounty.net/departments/courts/probate-court/name-changes/	Yes	The St. Ignace News	https://www.stignacenews.com/contact-us/	Mackinac County Sheriff	Yes	100 S Marley St, St Ignace, MI 49781	100 S Marley St	St Ignace	49781	LINK	https://www.mackinaccounty.net/departments/sheriffs-office/	
Macomb	16th	40 N Main St, Mt Clemens, MI 48043	40 N Main St	Mt Clemens	48043	(586) 469-7171		LINK	https://clerk.macombgov.org/Clerk-Forms	Yes	Macomb Legal News		Macomb County Sheriff		43565 Elizabeth Rd, Mt Clemens, MI 48043	43565 Elizabeth Rd	Mt Clemens	48043	LINK	https://sheriff.macombgov.org/Sheriff-RecordsOffice	
Manistee	19th	415 Third Street, Manistee, MI 49660	415 Third Street	Manistee	49660	(231) 723-1645		LINK	https://www.manisteecountymi.gov/229/Circuit		Manistee News Advocate	https://www.manisteenews.com/contact/	Manistee County Sheriff		1525 E Parkdale Ave, Manistee, MI 49660	1525 E Parkdale Ave	Manistee	49660	LINK	https://www.manisteecountymi.gov/158/Sheriffs-Office	
Marquette	25th	234 W Baraga Ave, Marquette, MI 49855	234 W Baraga Ave	Marquette	49855	(906) 225-8217		LINK	https://www.co.marquette.mi.us/departments/courts/index.php		The Mining Journal	https://www.miningjournal.net/contact-us/	Marquette City Police Dept.	Yes	300 W Baraga Ave, Marquette, MI 49855	300 W Baraga Ave	Marquette	49855	LINK	https://www.marquettemi.gov/fingerprinting/	
Mason	51st	304 E Ludington Ave, Ludington, MI 49431	304 E Ludington Ave	Ludington	49431	(231) 843-4791		LINK	https://www.masoncounty.net/courts/circuit-court/		Ludington Daily News	https://www.shorelinemedia.net/ludington_daily_news/site/contact.html	Mason County Sheriff	Yes	302 N Delia St, Ludington, MI 49431	302 N Delia St	Ludington	49431	LINK	https://masoncountysheriff.org/finger-printing/	
Mecosta	49th	400 Elm St, Big Rapids, MI 49307	400 Elm St	Big Rapids	49307	(231) 592-0780		LINK	https://www.mecostacounty.org/government/courts.php		The Big Rapids Pioneer	https://www.bigrapidsnews.com/contact/	Mecosta County Sheriff	Yes	225 S Stewart Ave, Big Rapids, MI 49307	225 S Stewart Ave	Big Rapids	49307	LINK	https://cms9files.revize.com/mecostacountymi/community%20corrections/LIVESCAN_HANDOUT_2019-01.pdf	Yes
Menominee	41st	839 10th Ave, Menominee, MI 49858	839 10th Ave	Menominee	49858	(906) 863-2634		LINK	https://www.menomineecounty.com/departments/?department=4ebc313f7a83		Multiple Options		Menominee County Sheriff	Yes	831 10th Ave, Menominee, MI 49858	831 10th Ave	Menominee	49858	LINK	https://www.menomineecounty.com/departments/?department=85bf1f570592&subdepartment=1e942dd36f19	
Midland	42nd	301 W Main St, Midland, MI 48640	301 W Main St	Midland	48640	(989) 832-6735		LINK	https://www.co.midland.mi.us/Courts/ProbateandJuvenileCourt/ProbateCourt/AdoptionsandNameChanges.aspx		Midland Daily News	https://www.ourmidland.com/contact/	Midland County Sheriff		2727 Rodd St, Midland, MI 48640	2727 Rodd St	Midland	48640	LINK	https://co.midland.mi.us/sheriff	
Missaukee	28th	111 S Canal St, Lake City, MI 49651	111 S Canal St	Lake City	49651	(231) 839-4967		LINK	https://www.missaukee.org/government/courts___legal/28th_circuit_court/circuit_court_family_division.php		Missaukee Sentinal	https://www.missaukeesentinel.com/contact-us/	Missaukee County Sheriff	Yes	110 S Pine St, Lake City, MI 49651	110 S Pine St	Lake City	49651	LINK	https://www.missaukee.org/departments/sheriff/fingerprinting.php	
Monroe	38th	106 E 1st St, Monroe, MI 48161	106 E 1st St	Monroe	48161	(734) 240-7000		LINK	https://www.co.monroe.mi.us/693/Name-Changes	Yes	Monroe Evening News	https://www.monroenews.com/public-notices	Monroe County Clerk	Yes	106 E 1st St, Monroe, MI 48161	106 E 1st St	Monroe	48161	LINK	https://www.co.monroe.mi.us/393/County-Clerk	
Montcalm	8th	625 N State St, Stanton, MI 48888	625 N State St	Stanton	48888	(989) 831-7316		LINK	https://www.montcalm.us/626/Name-Changes	Yes	The Daily News	https://www.thedailynews.cc/contact-us/	Montcalm County Sheriff	Yes	659 N State St, Stanton, MI 48888	659 N State St	Stanton	48888	LINK	https://www.montcalm.us/239/Fingerprinting	
Montmorency	26th	12265 M-32, Atlanta, MI 49709	12265 M-32	Atlanta	49709	(989) 354-9573		LINK	https://alpenacounty.org/circuit/		Montmorency Tribune	https://www.montmorencytribune.com/contact.html	Montmorency County Sheriff		11045 M-32, Atlanta, MI 49709	11045 M-32	Atlanta	49709	LINK	https://www.montcounty.org/sheriff.html	
Muskegon	14th	990 Terrace St, Muskegon, MI 49442	990 Terrace St	Muskegon	49442	(231) 724-6251		LINK	https://co.muskegon.mi.us/1627/Frequently-Asked-Questions	Yes	Muskegon Legal News		Muskegon County Sheriff	Yes	990 Terrace St, Muskegon, MI 49442	990 Terrace St	Muskegon	49442	LINK	https://www.co.muskegon.mi.us/184/Records	
Newaygo	27th	1092 E Newell St, White Cloud, MI 49349	1092 E Newell St	White Cloud	49349	(231) 689-7252		LINK	https://www.newaygocountymi.gov/departments/circuit-court/circuit-court/		Times Indicator	https://www.timesindicator.com/	Newaygo County Sheriff	Yes	300 Williams St, White Cloud, MI 49349	300 Williams St	White Cloud	49349	LINK	https://www.newaygocountymi.gov/departments/county-sherrif/administrative-support/	
Oakland	6th	1200 Telegraph Rd Building #12E, Pontiac, MI 48341	1200 Telegraph Rd Building #12E	Pontiac	48341	(248) 858-0344		LINK	https://www.oakgov.com/clerkrod/court-records/Pages/legal-name-change.aspx	Yes	Oakland Legal News		Oakland County Sheriff	Yes	1200 N Telegraph Road Building #38E, Pontiac, MI 48341	1200 N Telegraph Road Building #38E	Pontiac	48341	LINK	https://www.oakgov.com/sheriff/Corrections-Courts/Pages/Records-Unit.aspx	
Oceana	27th	100 S State St # M-10, Hart, MI 49420	100 S State St # M-10	Hart	49420	(231) 873-3666		LINK	https://oceana.mi.us/government/courts/probate-court/name-changes/	Yes	Oceana's Herald-Journal	https://www.shorelinemedia.net/oceanas_herald_journal/site/contact.html	Oceana County Sheriff	Yes	216 Lincoln St, Hart, MI 49420	216 Lincoln St	Hart	49420	LINK	https://oceana.mi.us/government/departments/sheriff/	
Ogemaw	34th	806 W Houghton Ave #106, West Branch, MI 48661	806 W Houghton Ave #106	West Branch	48661	(989) 345-3560		LINK	https://www.ocmi.us/34th-judicial-circuit-court/		Ogemaw County Herald	https://www.ogemawherald.com/contact-us/	Ogemaw County Sheriff	Yes	912 W Houghton Ave, West Branch, MI 48661	912 W Houghton Ave	West Branch	48661	LINK	https://www.ocmi.us/wp-content/uploads/Sheriff-Correctional-FingerprintInfo.pdf	
Ontonagon	32nd	725 Greenland Rd, Ontonagon, MI 49953	725 Greenland Rd	Ontonagon	49953	(906) 884-4699		LINK	https://ontonagoncounty.org/county-offices/circuit-court/		The Ontonagon Herald	https://ontonagonherald.com/	Ontonagon County Sheriff		620 Conglomerate St, Ontonagon, MI 49953	620 Conglomerate St	Ontonagon	49953	LINK	https://ontonagoncounty.org/county-offices/sheriff-department/	
Osceola	49th	410 W Upton Ave #3, Reed City, MI 49677	410 W Upton Ave #3	Reed City	49677	(231) 832-6124		LINK	https://cms4files.revize.com/osceolami/document_center/Probate%20Court/Name%20Change%20packet%203.31.22.pdf	Yes	Multiple Options		Osceola County Sheriff	Yes	325 W Upton Ave, Reed City, MI 49677	325 W Upton Ave	Reed City	49677	LINK	https://www.osceola-county.org/residents/county_departments/sheriff_1/index.php	
